URL	Start Time	End Time	RTT (ms)	Status Code	Content Size (bytes)	Throughput (bytes/ms)
http://10.10.200.1/index3.html	2024-09-07 10:45:38.424576	2024-09-07 10:45:59.451452	21026.876	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:38.417372	2024-09-07 10:45:59.450080	21032.708	200	0	0.0
http://10.10.200.1/index11.html	2024-09-07 10:45:38.407456	2024-09-07 10:45:59.451452	21043.996	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:38.400678	2024-09-07 10:45:59.450080	21049.402000000002	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:38.400678	2024-09-07 10:45:59.450080	21049.402000000002	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:39.440140	2024-09-07 10:46:00.483125	21042.985	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:39.442153	2024-09-07 10:46:00.483125	21040.972	200	0	0.0
http://10.10.200.1/index5.html	2024-09-07 10:45:39.434474	2024-09-07 10:46:00.483125	21048.650999999998	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:39.434474	2024-09-07 10:46:00.483125	21048.650999999998	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:39.453814	2024-09-07 10:46:00.483125	21029.311	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:39.445222	2024-09-07 10:46:00.483125	21037.903	200	0	0.0
http://10.10.200.1/index10.html	2024-09-07 10:45:39.450438	2024-09-07 10:46:00.483125	21032.686999999998	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:39.459535	2024-09-07 10:46:00.491225	21031.690000000002	200	0	0.0
http://10.10.200.1/index69.html	2024-09-07 10:45:39.455378	2024-09-07 10:46:00.491225	21035.847	200	0	0.0
http://10.10.200.1/index25.html	2024-09-07 10:45:39.462486	2024-09-07 10:46:00.491225	21028.739	200	0	0.0
http://10.10.200.1/index4.html	2024-09-07 10:45:40.475381	2024-09-07 10:46:01.531915	21056.534	200	0	0.0
http://10.10.200.1/index4.html	2024-09-07 10:45:40.484171	2024-09-07 10:46:01.531915	21047.744000000002	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:40.477317	2024-09-07 10:46:01.531915	21054.597999999998	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:40.487052	2024-09-07 10:46:01.531915	21044.863	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:40.482270	2024-09-07 10:46:01.531915	21049.645	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:40.497269	2024-09-07 10:46:01.531915	21034.645999999997	200	0	0.0
http://10.10.200.1/index2.html	2024-09-07 10:45:40.499485	2024-09-07 10:46:01.531915	21032.43	200	0	0.0

http://10.10.200.1/index30.html	2024-09-07 10:45:40.495115	2024-09-07 10:46:01.531915	21036.8	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:40.491947	2024-09-07 10:46:01.531915	21039.967999999997	200	0	0.0
http://10.10.200.1/index3.html	2024-09-07 10:45:41.505423	2024-09-07 10:46:02.533215	21027.792	200	0	0.0
http://10.10.200.1/index1.html	2024-09-07 10:45:41.507661	2024-09-07 10:46:02.533215	21025.554	200	0	0.0
http://10.10.200.1/index6.html	2024-09-07 10:45:41.511712	2024-09-07 10:46:02.556914	21045.202	200	0	0.0
http://10.10.200.1/index8.html	2024-09-07 10:45:41.525144	2024-09-07 10:46:02.556914	21031.77	200	0	0.0
